Data,Otwarcie,Najwyższy,Najniższy,Zamknięcie,Ticker
2006-08-07,3.75,3.75,3.75,3.75,WIBID_ON
2006-08-04,4.13,4.13,4.13,4.13,WIBOR_ON
2006-08-04,4.27,4.27,4.27,4.27,WIBOR_6M
2006-08-04,4.19,4.19,4.19,4.19,WIBOR_3M
2006-08-04,4.13,4.13,4.13,4.13,WIBOR_1M
2006-08-04,3.96,3.96,3.96,3.96,WIBID_ON
2006-08-03,4.14,4.14,4.14,4.14,WIBOR_ON
2006-08-03,4.26,4.26,4.26,4.26,WIBOR_6M
2006-08-03,4.19,4.19,4.19,4.19,WIBOR_3M
2006-08-03,4.14,4.14,4.14,4.14,WIBOR_1M
2006-08-03,3.97,3.97,3.97,3.97,WIBID_ON
2006-08-02,4.16,4.16,4.16,4.16,WIBOR_ON
2006-08-02,4.27,4.27,4.27,4.27,WIBOR_6M
2006-08-02,4.2,4.2,4.2,4.2,WIBOR_3M
2006-08-02,4.15,4.15,4.15,4.15,WIBOR_1M
2006-08-02,4,4,4,4,WIBID_ON
2006-08-01,4.14,4.14,4.14,4.14,WIBOR_ON
2006-08-01,4.27,4.27,4.27,4.27,WIBOR_6M
2006-08-01,4.2,4.2,4.2,4.2,WIBOR_3M
2006-08-01,4.14,4.14,4.14,4.14,WIBOR_1M
2006-08-01,3.98,3.98,3.98,3.98,WIBID_ON
2006-07-31,4.1,4.1,4.1,4.1,WIBOR_ON
2006-07-31,4.25,4.25,4.25,4.25,WIBOR_6M
2006-07-31,4.18,4.18,4.18,4.18,WIBOR_3M
2006-07-31,4.12,4.12,4.12,4.12,WIBOR_1M
2006-07-31,3.94,3.94,3.94,3.94,WIBID_ON
2006-07-28,4.01,4.01,4.01,4.01,WIBOR_ON
2006-07-28,4.26,4.26,4.26,4.26,WIBOR_6M
2006-07-28,4.18,4.18,4.18,4.18,WIBOR_3M
2006-07-28,4.12,4.12,4.12,4.12,WIBOR_1M
2006-07-28,3.72,3.72,3.72,3.72,WIBID_ON
2006-07-27,3.81,3.81,3.81,3.81,WIBOR_ON
2006-07-27,4.26,4.26,4.26,4.26,WIBOR_6M
2006-07-27,4.19,4.19,4.19,4.19,WIBOR_3M
2006-07-27,4.12,4.12,4.12,4.12,WIBOR_1M
2006-07-27,3.53,3.53,3.53,3.53,WIBID_ON
2006-07-26,3.89,3.89,3.89,3.89,WIBOR_ON
2006-07-26,4.24,4.24,4.24,4.24,WIBOR_6M
2006-07-26,4.18,4.18,4.18,4.18,WIBOR_3M
2006-07-26,4.11,4.11,4.11,4.11,WIBOR_1M
2006-07-26,3.65,3.65,3.65,3.65,WIBID_ON
2006-07-25,3.96,3.96,3.96,3.96,WIBOR_ON
2006-07-25,4.26,4.26,4.26,4.26,WIBOR_6M
2006-07-25,4.17,4.17,4.17,4.17,WIBOR_3M
2006-07-25,4.11,4.11,4.11,4.11,WIBOR_1M
2006-07-25,3.75,3.75,3.75,3.75,WIBID_ON
2006-07-24,4.01,4.01,4.01,4.01,WIBOR_ON
2006-07-24,4.26,4.26,4.26,4.26,WIBOR_6M
2006-07-24,4.18,4.18,4.18,4.18,WIBOR_3M
2006-07-24,4.11,4.11,4.11,4.11,WIBOR_1M
2006-07-24,3.8,3.8,3.8,3.8,WIBID_ON
2006-07-21,4.08,4.08,4.08,4.08,WIBOR_ON
2006-07-21,4.26,4.26,4.26,4.26,WIBOR_6M
2006-07-21,4.17,4.17,4.17,4.17,WIBOR_3M
2006-07-21,4.11,4.11,4.11,4.11,WIBOR_1M
2006-07-21,3.89,3.89,3.89,3.89,WIBID_ON
2006-07-20,4.1,4.1,4.1,4.1,WIBOR_ON
2006-07-20,4.27,4.27,4.27,4.27,WIBOR_6M
2006-07-20,4.18,4.18,4.18,4.18,WIBOR_3M
2006-07-20,4.11,4.11,4.11,4.11,WIBOR_1M
2006-07-20,3.93,3.93,3.93,3.93,WIBID_ON
2006-07-19,4.1,4.1,4.1,4.1,WIBOR_ON
2006-07-19,4.28,4.28,4.28,4.28,WIBOR_6M
2006-07-19,4.19,4.19,4.19,4.19,WIBOR_3M
2006-07-19,4.12,4.12,4.12,4.12,WIBOR_1M
2006-07-19,3.93,3.93,3.93,3.93,WIBID_ON
2006-07-18,4.1,4.1,4.1,4.1,WIBOR_ON
2006-07-18,4.3,4.3,4.3,4.3,WIBOR_6M
2006-07-18,4.19,4.19,4.19,4.19,WIBOR_3M
2006-07-18,4.12,4.12,4.12,4.12,WIBOR_1M
2006-07-18,3.93,3.93,3.93,3.93,WIBID_ON
2006-07-17,4.09,4.09,4.09,4.09,WIBOR_ON
2006-07-17,4.3,4.3,4.3,4.3,WIBOR_6M
2006-07-17,4.2,4.2,4.2,4.2,WIBOR_3M
2006-07-17,4.12,4.12,4.12,4.12,WIBOR_1M
2006-07-17,3.93,3.93,3.93,3.93,WIBID_ON
2006-07-14,4.1,4.1,4.1,4.1,WIBOR_ON
2006-07-14,4.35,4.35,4.35,4.35,WIBOR_6M
2006-07-14,4.21,4.21,4.21,4.21,WIBOR_3M
2006-07-14,4.12,4.12,4.12,4.12,WIBOR_1M
2006-07-14,3.92,3.92,3.92,3.92,WIBID_ON
2006-07-13,4.06,4.06,4.06,4.06,WIBOR_ON
